SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
46883,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,2014-05-30,Credo Reference Academic Core 100 Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core 100 Collection with Standard Topic Page,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46879,Edinburgh_Napier_University,Band 6,Higher Education,Edinburgh Napier University,Active,2014-05-30,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46880,Edinburgh_Napier_University,Band 6,Higher Education,Edinburgh Napier University,Active,2014-05-30,Info4education - Portal (All Products) Annual Commitment 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal Annual May 2017,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46670,University_College_Falmouth,Band 9,Higher Education,Falmouth University,Active,2014-05-01,Cambridge Companions Online - Complete Collection (adjusted pricing) 2014-2015,2014-05-01,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement,
46733,University_College_Falmouth,Band 9,Higher Education,Falmouth University,Active,2014-05-19,Bridgeman Education (Annual Commitment) 2014-2017,2014-05-19,2017-03-31,Jisc Collections Bridgeman Bridgeman Education (Annual Commitment) 2014-2017,2014-04-01,2017-03-31,Sublicence,England,Active,Yearly Agreement,
46826,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,2014-05-28,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46829,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,2014-05-28,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,Scotland,Active,Yearly Agreement,
46831,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,2014-05-28,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46832,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,2014-05-28,Info4education - Occupational Health & Safety Information Service (Without British Standards)  (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4Education Occupational Health & Safety Information Service (without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46725,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,2014-05-16,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46886,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,2014-05-30,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - 3 Year Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - 3 Year Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46802,Heriot-Watt_University,Band 5,Higher Education,Heriot-Watt University - Built Environment,Active,2014-05-27,Info4education - Construction Information Service (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,JISC Collections IHS Info4Education Construction Information Service 3-year May 2017,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46803,Heriot-Watt_University,Band 5,Higher Education,Heriot-Watt University - Built Environment,Active,2014-05-27,Info4education - Specify-it (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Specify it 3-Year May 2017,2014-06-01,2017-05-31,Sublicence,Scotland,Active,Yearly Agreement,
46881,Imperial_College_London,Band 2,Higher Education,Imperial College London,Active,2014-05-30,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46884,Imperial_College_London,Band 2,Higher Education,Imperial College London,Active,2014-05-30,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46788,Keele_University,Band 6,Higher Education,Keele University,Active,2014-05-23,Portico eBooks (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico eBooks June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46789,Keele_University,Band 6,Higher Education,Keele University,Active,2014-05-23,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46854,King's_College_London,Band 2,Higher Education,King's College London,Active,2014-05-29,JSTOR - Jewish Studies Collection 2012-15 renewal,2014-05-29,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
46885,Kingston_University,Band 5,Higher Education,Kingston University,Active,2014-05-30,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46712,Lancaster_University,Band 5,Higher Education,Lancaster University,Active,2014-05-13,IOP Publishing NESLi2 2014 agreement - Option 2,2014-05-13,2014-12-31,IOPP NESLi2 2014 offer - Option 2,2014-01-01,2014-12-31,Direct,England,Active,NESLi2 Agreement,
46769,Lancaster_University,Band 5,Higher Education,Lancaster University,Active,2014-05-22,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46716,Liverpool_John_Moores_University,Band 5,Higher Education,Liverpool John Moores University,Active,2014-05-15,Portico (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46861,London_Metropolitan_University,Band 5,Higher Education,London Metropolitan University,Active,2014-05-29,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46693,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-05-08,LOCKSS (Lots Of Copies Keep Stuff Safe) UK Alliance Membership 2014-15,2014-08-01,2015-07-31,Jisc Collections Edina LOCKSS August 2015,2014-08-01,2015-07-31,Sublicence,England,Active,Yearly Agreement,
46723,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-05-15,Portico (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46728,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-05-16,Portico eBooks (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico eBooks June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
46795,London_School_of_Economics_&_Political_Science,Band 5,Higher Education,London School of Economics & Political Science,Active,2014-05-23,Wiley Open Access - Wiley Open Access Account 2014,2014-05-23,2014-12-31,Wiley Online Open Access 2014,2014-01-01,2014-12-31,Direct,England,Request sent,NESLi2 Agreement,
46823,London_South_Bank_University,Band 5,Higher Education,London South Bank University,Active,2014-05-28,Info4education - Portal (All Products) 3 Year Commitment (2014-2017),2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46827,London_South_Bank_University,Band 5,Higher Education,London South Bank University,Active,2014-05-28,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46754,Loughborough_University,Band 5,Higher Education,Loughborough University,Active,2014-05-21,19th Century British Library Newspapers (2013-2014) ,2014-05-21,2014-07-31,19th Century British Library Newspapers,2013-08-01,2014-07-31,Direct,England,Request sent,Free Agreement,
46809,Loughborough_University,Band 5,Higher Education,Loughborough University,Active,2014-05-27,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46743,Newcastle_University,Band 3,Higher Education,Newcastle University,Active,2014-05-20,Info4education - Occupational Health & Safety Information Service (Without British Standards)  (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4Education Occupational Health & Safety Information Service (without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46744,Newcastle_University,Band 3,Higher Education,Newcastle University,Active,2014-05-20,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46787,Newcastle_University,Band 3,Higher Education,Newcastle University,Active,2014-05-23,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46704,"Newman_University_College,_Birmingham",Band 9,Higher Education,Newman University,Active,2014-05-12,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,Sublicence,England,Active,Yearly Agreement,
46714,"Newman_University_College,_Birmingham",Band 9,Higher Education,Newman University,Active,2014-05-13,Cambridge Companions Online - Philosophy and Religion 2014-2015,2014-05-13,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement,
46792,Nottingham_Trent_University,Band 5,Higher Education,Nottingham Trent University,Active,2014-05-23,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46793,Nottingham_Trent_University,Band 5,Higher Education,Nottingham Trent University,Active,2014-05-23,Info4education - Construction Information Service (Without British Standards) (Annual Commitment) 2014-2017,2014-06-01,2017-05-31,JISC Collections IHS Info4Education Construction Information Service (Without BS) Annual May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46794,Nottingham_Trent_University,Band 5,Higher Education,Nottingham Trent University,Active,2014-05-23,Info4education - Occupational Health & Safety Information Service (Without British Standards) (Annual Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHSInfo4Education Occupational Health and Safety Information Service (without BS) Annual May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46680,Queen's_University_Belfast,Band 4,Higher Education,Queen's University Belfast,Active,2014-05-02, Cairn Collections 2014 - 2017,2014-05-02,2016-12-31,Jisc Collections Cairn Cairn Collections 2014-2017,2014-01-01,2016-12-31,Direct,Northern Ireland,Request sent,Yearly Agreement,
46770,Queen's_University_Belfast,Band 4,Higher Education,Queen's University Belfast,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,Northern Ireland,Active,Yearly Agreement,
46819,Roehampton_University,Band 7,Higher Education,Roehampton University,Active,2014-05-27,Oxford Bibliographies Online 2013-2014,2014-06-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,England,Active,Yearly Agreement,
46833,Rose_Bruford_College,Band 10,Higher Education,Rose Bruford College,Active,2014-05-28,PYMCA for Education,2014-05-28,2014-11-30,PYMCA Jisc Collections Nov 2014,2013-12-01,2014-11-30,Sublicence,England,Active,Free Agreement,
46719,"Royal_Holloway,_University_of_London",Band 6,Higher Education,"Royal Holloway, University of London",Active,2014-05-15,Oxford Bibliographies Online 2013-2014,2014-05-16,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,England,Active,Yearly Agreement,
46707,Royal_Welsh_College_of_Music_&_Drama,Band 10,Higher Education,Royal Welsh College of Music & Drama,Active,2014-05-12,Digital Theatre Plus,2014-05-15,2016-04-30,JISC Collections Digital Theatre Ltd Digital Theatre Plus Apr 2016,2013-05-01,2016-04-30,Direct,Wales,Request sent,Yearly Agreement,
46735,Sheffield_Hallam_University,Band 4,Higher Education,Sheffield Hallam University,Active,2014-05-19,Info4education - Portal (All Products) 3 Year Commitment (2014-2017),2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46771,Sheffield_Hallam_University,Band 4,Higher Education,Sheffield Hallam University,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46862,Southampton_Solent_University,Band 6,Higher Education,Southampton Solent University,Active,2014-05-29,Info4education - Construction Information Service (Without British Standards) (3 Year Commitment) 2014-2017,2014-06-01,2017-05-31,Jisc Collections IHS Info4education Construction Information Service (Without BS) 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46869,Southampton_Solent_University,Band 6,Higher Education,Southampton Solent University,Active,2014-05-29,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46774,Swansea_University,Band 5,Higher Education,Swansea University,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,Wales,Active,Yearly Agreement,
46687,The_Open_University,Band 2,Higher Education,The Open University,Active,2014-05-06,LOCKSS (Lots Of Copies Keep Stuff Safe) UK Alliance Membership 2014-15,2014-08-01,2015-07-31,Jisc Collections Edina LOCKSS August 2015,2014-08-01,2015-07-31,Sublicence,England,Active,Yearly Agreement,
46868,The_Open_University,Band 2,Higher Education,The Open University,Active,2014-05-29,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Credo Reference Academic Core Premium Collection with Standard Topic Pages (2014-2017) - Annual Commitment,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46786,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-23,19th Century British Library Newspapers (2013-2014) ,2014-05-23,2014-07-31,19th Century British Library Newspapers,2013-08-01,2014-07-31,Direct,England,Request sent,Free Agreement,
46811,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-27,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46812,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-27,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46813,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-27,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46814,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-27,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46815,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-27,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46845,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-28,Elsevier Gold Retrospective 2013 article fees,2013-04-01,2014-12-31,Elsevier Gold Retrospective 2013 Fees licence holding document,2013-04-01,2014-12-31,Direct,England,Request sent,Consortia Agreement,
46848,University_College_London,Band 1,Higher Education,University College London,Active,2014-05-28,NHS NESLi2 Pilot ,2014-04-01,2015-03-31,NHS NESLi2 Pilot 2014 licence holding document,2014-04-01,2015-03-31,Direct,England,Request sent,Consortia Agreement,
46717,University_of_Aberdeen,Band 5,Higher Education,University of Aberdeen,Active,2014-05-15,Portico (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,Scotland,Request sent,Yearly Agreement,
46877,University_of_Abertay_Dundee,Band 9,Higher Education,University of Abertay Dundee,Active,2014-05-30,Institution of Civil Engineers Virtual Library Archive (1836-2001),2014-05-30,2018-12-31,JISC Collections Institution of Civil Engineers Virtual Library Archive in perpetuity,2014-01-01,2018-12-31,Sublicence,Scotland,Active,Free Agreement,
46867,University_of_Bath,Band 5,Higher Education,University of Bath,Active,2014-05-29,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46668,University_of_Birmingham,Band 2,Higher Education,University of Birmingham,Active,2014-05-01,Cambridge Companions Online - Literature and Classics 2014-2015,2014-05-01,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement,
46669,University_of_Birmingham,Band 2,Higher Education,University of Birmingham,Active,2014-05-01,Shakespeare Survey Online 2014-2015,2014-05-01,2015-01-08,JISC Collections Cambridge University Press Cambridge Companions Online Jan 2015,2014-01-09,2015-01-08,Sublicence,England,Active,Yearly Agreement,
46736,University_of_Bolton,Band 8,Higher Education,University of Bolton,Active,2014-05-19,Info4education - Portal (All Products) 3 Year Commitment (2014-2017),2014-06-01,2017-05-31,Jisc Collections IHS Info4education Portal 3-year May 2017,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46781,University_of_Bradford,Band 5,Higher Education,University of Bradford,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46780,University_of_Brighton,Band 5,Higher Education,University of Brighton,Active,2014-05-22,British Standards Online 2014-2017,2014-06-01,2017-05-31,JISC Collections BSI Standards Ltd British Standards Online May 2017 ,2014-06-01,2017-05-31,Sublicence,England,Active,Yearly Agreement,
46739,University_of_Cambridge,Band 1,Higher Education,University of Cambridge,Active,2014-05-19,Portico eJournals (2014-2017),2014-07-01,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
